Title,Year,Summary,"Short Summary","IMDB ID",Runtime,"YouTube Trailer",Rating,"Movie Poster",Director,Writers,Cast
"Kung Fu Panda",2008,"It's the story about a lazy, irreverent slacker panda, named Po, who is the biggest fan of Kung Fu around...which doesn't exactly come in handy while working every day in his family's noodle shop. Unexpectedly chosen to fulfill an ancient prophecy, Po's dreams become reality when he joins the world of Kung Fu and studies alongside his idols, the legendary Furious Five -- Tigress, Crane, Mantis, Viper and Monkey -- under the leadership of their guru, Master Shifu. But before they know it, the vengeful and treacherous snow leopard Tai Lung is headed their way, and it's up to Po to defend everyone from the oncoming threat. Can he turn his dreams of becoming a Kung Fu master into reality? Po puts his heart - and his girth - into the task, and the unlikely hero ultimately finds that his greatest weaknesses turn out to be his greatest strengths.","The Dragon Warrior has to clash against the savage Tai Lung as China's fate hangs in the balance: However, the Dragon Warrior mantle is supposedly mistaken to be bestowed upon an obese panda who is a tyro in martial arts.",tt0441773,92,uZrxJSawyNM,7.6,https://hydramovies.com/wp-content/uploads/2018/04/Kung-Fu-Panda-Movie-Poster.jpg,"Mark Osborne","Jonathan Aibel","Ian McShane|Jack Black"
"Kung Fu Panda 2",2011,"In the Valley of Peace, Po Ping is revelling in his fulfilled dreams as he serves as the fabled Dragon Warrior protecting his home with his heroes now his closest friends. However, Po and company learn that the murderous Lord Shen of Gongman City is threatening the land with a fearsome new weapon that could mean the end of kung fu. They attempt to stop him, but the panda is burdened with crippling memory flashbacks linked to this villain. Now with China in the balance, Po must learn about his past and find true inner peace against all opposition.","Po and his friends fight to stop a peacock villain from conquering China with a deadly new weapon, but first the Dragon Warrior must come to terms with his past.",tt1302011,90,oTtDn2W39Sg,7.3,https://hydramovies.com/wp-content/uploads/2018/04/Kung-Fu-Panda-2-Movie-Poster.jpg,"Jennifer Yuh Nelson","Jonathan Aibel","Angelina Jolie|Jack Black|Jackie Chan"
"Kung Fu Panda 3",2016,"When Po's long-lost panda father suddenly reappears, the reunited duo travels to a secret panda paradise to meet scores of hilarious new panda characters. But when the supernatural villain Kai begins to sweep across China defeating all the kung fu masters, Po must do the impossible-learn to train a village full of his fun-loving, clumsy brethren to become the ultimate band of Kung Fu Pandas.","Continuing his &quot;legendary adventures of awesomeness&quot;, Po must face two hugely epic, but different threats: one supernatural and the other a little closer to his home.",tt2267968,95,10r9ozshGVE,7.1,https://hydramovies.com/wp-content/uploads/2018/04/Kung-Fu-Panda-3-Movie-Poster.jpg,"Alessandro Carloni","Jonathan Aibel","Bryan Cranston|Dustin Hoffman|Jack Black"
"Patton Oswalt: Annihilation",2017,"Patton Oswald, despite a personal tragedy, produces his best standup yet. Focusing on the tribulations of the Trump era and life after the loss of a loved one, Patton Oswald continues his journey to contribute joy to the world.","Patton Oswalt, despite a personal tragedy, produces his best standup yet. Focusing on the tribulations of the Trump era and life after the loss of a loved one, Oswalt continues his journey to contribute joy to the world.",tt7026230,66,4hZi5QaMBFc,7.4,https://hydramovies.com/wp-content/uploads/2018/04/Patton-Oswalt-Annihilation-Movie-Poster.jpg,"Bobcat Goldthwait","Patton Oswalt","Patton Oswalt"
"New York Doll",2005,"A recovering alcoholic and recently converted Mormon, Arthur ""Killer"" Kane, of the rock band The New York Dolls, is given a chance at reuniting with his band after 30 years.","A recovering alcoholic and recently converted Mormon, Arthur &quot;Killer&quot; Kane, of the rock band The New York Dolls, is given a chance at reuniting with his band after 30 years.",tt0436629,75,jwD04NsnLLg,7.9,https://hydramovies.com/wp-content/uploads/2018/04/New-York-Doll-Movie-Poster.jpg,"Greg Whiteley","Arthur Kane","Sylvain Sylvain"
"Mickey's Magical Christmas: Snowed in at the House of Mouse",2001,"After everyone is snowed in at the House of Mouse, Mickey suggests they throw their own Christmas party. Everyone is happy, except for Donald who just isn't in to the Christmas spirit. So Mickey shows a series of cartoons that show just what Christmas is all about. It features a star studded cast of Disney characters from everyone's favorite animated Disney movies.","Mickey and all his friends hold their own Christmas party at the House of Mouse, after being snowed in.",tt0300195,65,uCKwHHftrU4,6.8,https://hydramovies.com/wp-content/uploads/2018/04/Mickeys-Magical-Christmas-Snowed-in-at-the-House-of-Mouse-Movie-Poster.jpg,"Tony Craig","Thomas Hart","Carlos Alazraqui|Wayne Allwine"
"Mickey's House of Villains",2001,"The villains from the popular animated Disney films are gathered at the House of Mouse with plans to take over. Soon, the villains take over the house and kick out Mickey, Donald and Goofy. It's all up to Mickey and his friends to overthrow evil and return the House of Mouse to normal--or as close to normal as it get's.","The villains from the popular animated Disney films are gathered at the House of Mouse with plans to take over. Soon, the villains take over the house and kick out Mickey, Donald and Goofy....",tt0329374,0,JA03ciYt-Ek,6.6,https://hydramovies.com/wp-content/uploads/2018/04/Mickeys-House-of-Villains-Movie-Poster.jpg,"Jamie Mitchell","Thomas Hart","Tony Anselmo|Wayne Allwine"
"And Then I Go",2017,"In the cruel world of junior high, Edwin suffers in a state of anxiety and alienation alongside his only friend, Flake. Misunderstood by their families and demoralized at school daily, their fury simmers quietly until an idea for vengeance offers them a terrifying release. Based on the acclaimed novel ""Project X"" by Jim Shepard, this unflinching look at adolescence explores how the powerful bonds of childhood friendship and search for belonging can become a matter of life or death.","In the cruel world of junior high, Edwin suffers in a state of anxiety and alienation alongside his only friend, Flake. Misunderstood by their families and demoralized at school daily, ...",tt2018111,99,8CdIiD6-iF0,7.6,https://hydramovies.com/wp-content/uploads/2018/04/And-Then-I-Go-Movie-Poster.jpg,"Vincent Grashaw","Brett Haley","Arman Darbo|Sawyer Barth"
"An Extremely Goofy Movie",2000,"It's a big time in Max's life. He's college bound with his friends and finally free of his embarrassing father as he strives to be a top contender for the X-Games. Unfortunately, Goofy loses his job and learns that he cannot get another job without a college degree. To his son's mortification, Goofy decides to join him in his campus to get that degree. Desperate to distract his father, Max talks him into joining the competing Gamma Fraternity team and introduces him to a wonderful librarian who shares his nostalgic love for 1970's pastimes. Unfortunately, things do not go according to plan as events put this father-son relationship to the test.","Max goes to college, but to his embarassment his father loses his job and goes to his son's campus.",tt0208185,79,H8oSvldAGfg,6.4,https://hydramovies.com/wp-content/uploads/2018/04/An-Extremely-Goofy-Movie-Movie-Poster.jpg,"Douglas McCarthy","Scott Spencer Gorden","Bill Farmer|Jason Marsden|Jeff Bennett"
"Peter Rabbit",2018,"Based on the books by Beatrix Potter: Peter Rabbit (James Corden;) his three sisters: Flopsy (Margot Robbie,) Mopsy (Elizabeth Debicki) and Cotton Tail (Daisy Ridley) and their cousin Benjamin (Colin Moody) enjoy their days harassing Mr McGregor in his vegetable garden. Until one day he dies and no one can stop them roaming across his house and lands for a full day or so. However, when one of Mr McGregor's relatives inherits the house and goes to check it out, he finds much more than he bargained for. What ensues, is a battle of wills between the new Mr McGregor and the rabbits. But when he starts to fall in love with Bea (Rose Byrne,) a real lover of all nature, his feelings towards them begin to change. But is it too late?","Feature adaptation of Beatrix Potter's classic tale of a rebellious rabbit trying to sneak into a farmer's vegetable garden.",tt5117670,95,7Pa_Weidt08,6.6,https://hydramovies.com/wp-content/uploads/2018/04/Peter-Rabbit-Movie-Poster.jpg,"Will Gluck","Rob Lieber","Fayssal Bazzi|James Corden"
"Love Songs",2007,"Julie's boyfriend Ismaël lives with her; rather than worry about the time he spends with his colleague Alice, Julie invites Alice to join them. The three walk the streets of Paris, party, read, and sleep together. Sometimes it's lighthearted, sometimes there are jealousies. Then death strikes. In various ways, those left come to terms with the departure and absence of a loved one: showing concern, eating together, attempting new relationships, trying to ""be there"" for the other. Then, the spirit returns and new commitments are possible. The romantic elements of musical comedy play in contrast to the ambivalence of the lyrics and the story.","A musical interpretation of three lovers living in Paris.",tt0996605,91,s54vpKAFmS0,7.2,https://hydramovies.com/wp-content/uploads/2018/04/Love-Songs-Movie-Poster.jpg,"Christophe Honoré","Christophe Honoré","Clotilde Hesme|Louis Garrel|Ludivine Sagnier"
89,2017,"89 tells the incredible story of one of football's greatest triumphs: when against all odds Arsenal snatched the Championship title from Liverpool at Anfield in the last minute of the last game of the 1988/89 season. It's a universal tale of a band of brothers who, led by a charismatic and deeply respected manager, came together to defy the odds and create history. Mixing archive and previously unseen footage with revealing interviews, insights and memories from the original squad, game officials, famous fans and the people who were there on the night this is the definitive account of a watershed moment in football and a must-watch for any sports fan.","The true story of a sporting miracle, when Arsenal went to Anfield on the last day of the 1988/89 season needing to beat the best team in England by two clear goals to snatch the title.",tt7614404,91,5hfAExhHTMM,8.1,https://hydramovies.com/wp-content/uploads/2018/04/89-Movie-Poster.jpg,"Dave Stewart","Lee Dixon","Ian Wright"
"The Foster Boy",2011,"The illegitimate orphan child, 12-year-old Max, is sold by the local minister for a basket of food to the Bösiger family, who own a mountain farm. Max' initial hope of finally finding a loving home is brutally shattered: The farmer and his wife treat Max like livestock, and their son Jacob humiliates and abuses him. Only the local teacher notices the child suffering on the farm.","A Swiss-German rural peasant family takes Max, a crude 15-year-old boy, into a foster situation of constant bullying. Soon, a foster girl is added to the mix.",tt2057931,107,E9Qv_XVJ-js,7.4,https://hydramovies.com/wp-content/uploads/2018/04/The-Foster-Boy-Movie-Poster.jpg,"Markus Imboden","Plinio Bachmann","Katja Riemann|Maximilian Simonischek|Stefan Kurt"
"Forever My Girl",2018,"After being gone for a decade a country star returns home to the love he left behind.","After being gone for a decade a country star returns home to the love he left behind.",tt4103724,108,3vqcMr1q5Uc,6.4,https://hydramovies.com/wp-content/uploads/2018/04/Forever-My-Girl-Movie-Poster.jpg,"Bethany Ashton Wolf","Bethany Ashton Wolf","Abby Ryder Fortson|Alex Roe|Jessica Rothe"
"Tom Segura: Disgraceful",2018,"Comedian Tom Segura rants about funny things about pop culture and the way of living in 2018.","Comedian Tom Segura rants about funny things about pop culture and the way of living in 2018.",tt7379330,0,kYYINJM3lPA,7.5,https://hydramovies.com/wp-content/uploads/2018/04/Tom-Segura-Disgraceful-Movie-Poster.jpg,"Jay Karas","Tom Segura","Tom Segura"
"The Secret Rules of Modern Living: Algorithms",2015,"Professor Marcus du Sautoy demystifies the hidden world of algorithms and reveals where these 2,000-year-old problem solvers came from, how they work, and what they have achieved.","Professor Marcus du Sautoy demystifies the hidden world of algorithms and reveals where these 2,000-year-old problem solvers came from, how they work, and what they have achieved.",tt5818010,58,hpyxmT6KSvw,7.5,https://hydramovies.com/wp-content/uploads/2018/04/The-Secret-Rules-of-Modern-Living-Algorithms-Movie-Poster.jpg,"David Briggs","Marcus du Sautoy",
"Secrets in the Fall",2015,"Nothing is impossible for a group of young campers, friends and enemies alike, on a weekend retreat at Camp Pinnacle. But what starts as an exciting wilderness adventure turns into trouble when a young camper goes missing and the rest of the group must set out to find him. The campers are forced to overcome their differences and band together to re-claim their weekend and make it out of the woods before dark!","Nothing is impossible for a group of young campers, friends and enemies alike, on a weekend retreat at Camp Pinnacle. But what starts as an exciting wilderness adventure turns into trouble ...",tt2522908,0,eMVw1pHVMAw,7.3,https://hydramovies.com/wp-content/uploads/2018/04/Secrets-in-the-Fall-Movie-Poster.jpg,"Brittany Goodwin","Brittany Goodwin","Hollie Shay|Kyle Kupecky|Vincent Seidle"
"Silent Night",2017,"Adam unexpectedly visits his family house at Christmas after a few years of working abroad. No family member knows about his secret plans and the real reasons of his visit.","Adam unexpectedly visits his family house at Christmas after a few years of working abroad. No family member knows about his secret plans and the real reasons of his visit.",tt7133554,100,cA6BUYVkQoE,7.5,https://hydramovies.com/wp-content/uploads/2018/04/Silent-Night-Movie-Poster.jpg,"Piotr Domalewski","Piotr Domalewski","Agnieszka Suchora|Dawid Ogrodnik|Tomasz Zietek"
"Suicide Squad: Hell to Pay",2018,"Task Force X targets a powerful mystical object that they will risk their lives to steal.","Task Force X targets a powerful mystical object that they will risk their lives to steal.",tt7167602,86,EPZZvk-wbGE,7.2,https://hydramovies.com/wp-content/uploads/2018/04/Suicide-Squad-Hell-to-Pay-Movie-Poster.jpg,"Sam Liu","Alan Burnett","Christian Slater|Vanessa Williams"
Wildling,2018,"Anna spends her entire childhood under the care of a mysterious man she only knows as Daddy. He keeps her locked in an attic making her fear the Wildling, a child-eating monster that roams the outside. At age 16, Anna is freed by small-town sheriff Ellen Cooper who helps her start a new life as a normal teenager. But as Anna's body begins to blossom, her childhood nightmares return with a vengeance, leading to the conclusion of a terrifying secret.","A blossoming teenager uncovers the dark secret behind her traumatic childhood.",tt5085924,92,eyl1Wf90AgY,6.1,https://hydramovies.com/wp-content/uploads/2018/04/Wildling-Movie-Poster.jpg,"Fritz Böhm","Fritz Böhm","Bel Powley|Brad Dourif|Liv Tyler"